         4770736 function calls (4687915 primitive calls) in 4.446 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      240    0.003    0.000    0.115    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:290(forward)
       89    0.003    0.000    0.016    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:27(<setcomp>)
     1612    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     7095    0.003    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1675(__getattr__)
    50257    0.003    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/import_utils.py:441(is_flax_available)
59544/59154    0.003    0.000    0.018    0.000 {built-in method builtins.len}
     4715    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     5610    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x902780}
      191    0.003    0.000    0.060    0.000 /usr/lib/python3.8/dataclasses.py:807(_process_class)
      164    0.003    0.000    0.005    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/modeling_utils.py:566(<setcomp>)
        2    0.003    0.002    0.535    0.267 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:10(get_mapping)
        1    0.003    0.003    0.003    0.003 {method 'any' of 'torch._C.TensorBase' objects}
     6874    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        3    0.003    0.001    0.003    0.001 {built-in method torch.cuda._get_device_properties}
    17097    0.003    0.000    0.004    0.000 /usr/lib/python3.8/inspect.py:63(ismodule)
     6874    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     1411    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
 1374/167    0.003    0.000    0.006    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1824(state_dict)
    22914    0.003    0.000    0.006    0.000 {built-in method builtins.all}
      806    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      240    0.003    0.000    0.003    0.000 {built-in method torch.tanh}
        1    0.003    0.003    1.199    1.199 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/generation/utils.py:1173(generate)
