         103638405 function calls (93855135 primitive calls) in 46.707 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1411    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    12939    0.002    0.000    0.011    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:43(edge)
      358    0.002    0.000    0.006    0.000 /usr/lib/python3.8/inspect.py:2124(_signature_from_function)
   357/38    0.002    0.000    0.004    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
        3    0.002    0.001    0.041    0.014 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:45(__len__)
      809    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     3337    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1675(__getattr__)
      678    0.002    0.000    0.039    0.000 /usr/lib/python3.8/dataclasses.py:375(_create_fn)
     3742    0.002    0.000    0.022    0.000 /usr/lib/python3.8/re.py:289(_compile)
    13254    0.002    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:15(<genexpr>)
      384    0.002    0.000    0.244    0.001 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/pytorch_utils.py:100(forward)
      951    0.002    0.000    0.006    0.000 /usr/lib/python3.8/dataclasses.py:669(_get_field)
    14355    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
      162    0.002    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/modeling_utils.py:605(<listcomp>)
      160    0.002    0.000    0.003    0.000 {method 'get_tensor' of 'builtins.safe_open' objects}
     7243    0.002    0.000    0.003    0.000 {built-in method builtins.max}
   883/70    0.002    0.000    0.704    0.010 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  706/391    0.002    0.000    0.017    0.000 /usr/lib/python3.8/inspect.py:2218(_signature_from_callable)
       96    0.002    0.000    0.002    0.000 {built-in method torch.split}
   809/70    0.002    0.000    0.698    0.010 <frozen importlib._bootstrap>:650(_load_unlocked)
       96    0.002    0.000    0.110    0.001 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:290(forward)
        4    0.002    0.000    0.017    0.004 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/utils/_config_module.py:73(get_assignments_with_compile_ignored_comments)
      884    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
    11758    0.002    0.000    0.003    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
      706    0.002    0.000    0.002    0.000 /usr/lib/python3.8/inspect.py:2772(__init__)
7427/1227    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:2333(named_modules)
        1    0.002    0.002    0.006    0.006 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/regex/_regex_core.py:16(<module>)
     8985    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/utils/_config_module.py:142(__getattr__)
    34369    0.002    0.000    0.002    0.000 {method 'append' of 'collections.deque' objects}
     1411    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        8    0.002    0.000    0.937    0.117 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:743(forward)
     5743    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/utils.py:463(istype)
     1411    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
     8697    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/allowed_functions.py:315(<listcomp>)
        3    0.002    0.001    0.002    0.001 {built-in method _imp.create_dynamic}
     3711    0.002    0.000    0.014    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/package/package_importer.py:695(_patched_getfile)
       89    0.002    0.000    0.012    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:62(<listcomp>)
      172    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:451(__init__)
     1374    0.002    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1785(_save_to_state_dict)
     4553    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
   159/48    0.001    0.000    0.008    0.000 /usr/lib/python3.8/copy.py:226(_deepcopy_dict)
     1437    0.001    0.000    0.001    0.000 {built-in method torch._C._get_tracing_state}
      990    0.001    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1690(__setattr__)
       96    0.001    0.000    0.001    0.000 {built-in method torch.pow}
     1612    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
1619/1569    0.001    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/configuration_utils.py:257(__setattr__)
     2278    0.001    0.000    0.001    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:276(valid_char_code_point_match)
     7259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
2123/2030    0.001    0.000    0.012    0.000 /usr/lib/python3.8/typing.py:255(inner)
       12    0.001    0.000    0.001    0.000 /usr/lib/python3.8/json/encoder.py:204(iterencode)
      192    0.001    0.000    0.001    0.000 {built-in method torch.full}
     6569    0.001    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
      320    0.001    0.000    0.001    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/storage.py:308(__getitem__)
      811    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        1    0.001    0.001   43.967   43.967 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/generation/utils.py:2172(greedy_search)
     2640    0.001    0.000    0.003    0.000 /usr/lib/python3.8/typing.py:762(__setattr__)
   1304/8    0.001    0.000    1.113    0.139 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1507(_wrapped_call_impl)
     1278    0.001    0.000    0.001    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
1410/1388    0.001    0.000    0.001    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/configuration_utils.py:262(__getattribute__)
      141    0.001    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/core/facts.py:599(deduce_all_facts)
      104    0.001    0.000    0.001    0.000 {built-in method torch.where}
       96    0.001    0.000    0.001    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}
