         26758727 function calls (26577491 primitive calls) in 16.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.008    0.008 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/regex/_regex_core.py:16(<module>)
   357/38    0.002    0.000    0.005    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
      240    0.002    0.000    0.002    0.000 {built-in method torch.tanh}
    13052    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
      885    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      362    0.002    0.000    0.006    0.000 /usr/lib/python3.8/inspect.py:2124(_signature_from_function)
      960    0.002    0.000    0.002    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
    12939    0.002    0.000    0.010    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:43(edge)
  3260/20    0.002    0.000    0.866    0.043 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1507(_wrapped_call_impl)
      809    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      951    0.002    0.000    0.006    0.000 /usr/lib/python3.8/dataclasses.py:669(_get_field)
      678    0.002    0.000    0.039    0.000 /usr/lib/python3.8/dataclasses.py:375(_create_fn)
    13254    0.002    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:15(<genexpr>)
      162    0.002    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/modeling_utils.py:605(<listcomp>)
   883/70    0.002    0.000    0.721    0.010 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  714/395    0.002    0.000    0.017    0.000 /usr/lib/python3.8/inspect.py:2218(_signature_from_callable)
      324    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
    11757    0.002    0.000    0.003    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
    14355    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
      240    0.002    0.000    0.002    0.000 {built-in method torch.split}
   809/70    0.002    0.000    0.714    0.010 <frozen importlib._bootstrap>:650(_load_unlocked)
     3379    0.002    0.000    0.002    0.000 {built-in method torch._C._get_tracing_state}
      990    0.002    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1690(__setattr__)
7547/1323    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:2333(named_modules)
